domain,tld_from_ip
sciforce.org,us
thaidj.org,th
insight.piscomed.com,sg
aplicaciones.bibliolatino.com,us
cn.usp-pl.com,sg
iainmadura.org,nl
base.revistacide.org,us
latihanojs2.iainmadura.org,nl
probe.usp-pl.com,sg
rubatosis.org,in
www.carijournals.org,us
www.ajpojournals.org,us
dossolution.com,id
www.dossolution.com,id
estudamdergi.org,tr
fortunejournals.org,us
revistes.ub.edu,es
ubipayroll.com,us
ijrdo.org,us
journals.eduindex.org,us
iieta.org,us
scripturesubmission.com,sg
www.gratisoa.org,us
myresearchjournals.com,us
oajournals.fupress.net,fr
ojs.wiserpub.com,sg
en.front-sci.com,sg
medcrave.org,us
scp.library.illinois.edu,us
revistas.upel.digital,nl
oaj.fupress.net,fr
journal.saintispub.com,cy
oapub.org,de
dl6.globalstf.org,sg
adrjournalshouse.com,us
journals.aphriapub.com,us
ojs.adrri.org,fr
stratfordjournals.org,de
thejournalshouse.com,us
ijtarp.org,us
journals.ipinnovative.com,us
sia-uniwa.ddns.net,id
technology.eurekajournals.com,in
www.iprjb.org,us
e-journal.uph.edu,id
ijpsnonline.com,in
manuscript.publishingindia.com,in
royalliteglobal.com,de
www.manuscript.publishingindia.com,in
journal.jis-institute.org,sg
knepublishing.com,de
ncurproceedings.org,us
sandbox.publicknowledgeproject.org,ca
ezenwaohaetorc.org,us
jmhs.info,us
medicaljournalshouse.com,us
ojs.ejournal.net,us
ojs.urbe.edu,ve
researchlakejournals.com,us
usajournalshub.com,us
www.gphjournal.org,sg
ejurnal.saintekjournalitm.com,my
journal.pdmbengkulu.org,cy
journal.scientiaca.org,us
journals.library.columbia.edu,us
ojs.piscomed.com,sg
revistas.infoacceso.org,us
www.firstojs.com,us
cenicafe.metarevistas.org,gb
goodwoodpub.com,id
ojs.msupress.msu.edu,us
revistas.upr.edu,pr
scholarzest.com,de
www.journal.riverpublishers.com,us
www.sciencepubco.com,us
jurnal.fisipuntan.org,id
jurnal.penerbitsign.com,id
reviewtool.ilri.org,gb
revistes.urv.cat,es
asdpub.com,us
firstmonday.org,us
highlightsin.org,bg
jayapanguspress.penerbit.org,cy
journal.sscipub.com,us
journals.comsresearch.com,us
jurnalilmiah.org,id
kigiran.com,ru
mimesisjournals.com,it
ojs.globalmissiology.org,us
ojs.indrastra.com,us
penerbitgoodwood.com,id
conference.tspsubmission.com,hk
journals.sta.uwi.edu,tt
odjar.org,nl
ojcs.siue.edu,us
ojs3.berghahnjournals.com,us
revistasfranciscanas.org,nl
sauc.website,pt
sesmo.org,nl
theinterscholar.org,us
undergradsciencejournals.okstate.edu,us
www.ejournal.aibpm.org,id
www.iaiai.org,jp
www.theinterscholar.org,us
aisc-publications.org,us
asps-journals.com,gb
bioscipublisher.com,us
cropscipublisher.com,us
editoraverde.org,us
ejournal.mandalanursa.org,cy
ejournaluntikaluwuk.net,id
itr.eurekajournals.com,in
journal-repository.com,us
journal.equinoxpub.com,ie
journals.himalayanherald.org,us
journals.tdl.org,us
journals.uc.edu,us
medcliph.com,sg
modhfarpub.com,us
proceedings.ciaiq.org,pt
pubs2.ascee.org,id
sabapub.com,us
science.eurekajournals.com,in
sersc.org,us
siducat.org,id
submission.apertusjournal.com,us
www.brazilianjournals.com,br
www.medcliph.com,sg
www.thematicdoorway.com,us
www.wmpllc.org,us
aaai.org,us
annalesumng.org,fr
asianpubs.org,in
bright-journal.org,id
classiques-garnier.com,fr
iajour.com,us
igbr.org,us
iscmrpublications.com,us
journal.fkpt.org,id
journal.forshenhub.com,nl
journal.haqipub.com,id
journal.sustech.edu,sd
journals.iupui.edu,us
journals.opscidia.com,be
journals.pakistanreview.com,de
journals.shareok.org,us
jurnal.sainsglobal.com,us
jurnalummi.agungprasetyo.net,id
keiv.org,gb
medtech.ichsmt.org,us
ojs.bilpublishing.com,sg
ojs3.ubplj.org,gb
procedia.e-master.org,us
publicaciones.fedepalma.org,us
publications.oasisinternationaljournal.org,us
publikasi.kocenin.com,id
revistas.ponteditora.org,us
revistasunimilitareduco.biteca.online,us
smsrio.org,us
sunankalijaga.org,us
ubplj.org,gb
www.asianscientificresearch.com,sg
www.assumptionjournal.au.edu,th
www.editorialeidec.com,us
www.journals.mindamas.com,id
www.tmfv.org,ua
www.ubplj.org,gb
acjol.org,us
agenf.org,us
ahroeop.org,us
ajsse.org,de
antjournals.org,tr
aswapublishers.org,us
brjournals.comsresearch.com,us
cendikia.online,us
dev-ejournals.library.vanderbilt.edu,us
ejournal.aksararentakasiar.com,sg
ejournal.imperiuminstitute.org,id
ejournal.medan.uph.edu,id
ejournalmanager.com,us
endsci.net,es
grinrey.com,nl
hathi-pusat.org,id
iopn.library.illinois.edu,us
jhistsex.org,ca
jmss.org,ca
journal.cs.unsika.ac.id.,id
journal.edizioniets.com,de
journal.febubhara-sby.org,id
journal.natureindonesia.org,id
journal.supershineuniversity.net,us
journals.calstate.edu,us
journals.resaim.com,in
journals.researchub.org,au
journals.rsfpress.com,nl
journals.synthesispublication.org,id
journals.tplondon.com,de
jstp.karsawisata.com,id
jurnal.iicet.org,id
mbimph.com,us
mbmj.org,nl
online-publication.com,nl
openjournal.lib.miamioh.edu,us
openjournals.lib.uchicago.edu,us
pagepress.org,it
paressu.org,us
pausmiling.org,us
pcsp.libraries.rutgers.edu,ca
publicaciones.urbeetius.org,us
revista.estudioidea.org,us
revues-dev.droz.org,ch
rianp.com,us
riviste.fupress.net,fr
seer.pgsskroton.com,br
woasjournals.com,us
www.antpublisher.com,hk
www.archives.sp.oajour.info,us
www.ikprress.org,sg
www.konskrip.com,id
www.mapress.com,us
www.medscipublisher.com,us
www.ojsps.org,us
www.pagepress.org,it
www.rsepress.com,us
www.sciengtexopen.org,gb
www.scischolars.com,us
www.syniutajournals.com,us
www.uninter.com,us
a3c.c2000455.ferozo.com,ar
academiainsight.com,us
academicareview.com,cy
animalscipublisher.com,us
apjihl.org,us
articlegateway.com,us
brajets.com,us
c2000455.ferozo.com,ar
candle-id.com,id
companyofscientists.com,us
conference.loupiasconference.org,id
congresoamericana.com,us
djournals.com,id
edu-journals.com,us
ejournal.cloud,us
ejournal.lucp.net,in
ejournal.rahmadani.net,us
ejournal2.upi.edu,id
elcpublishing.org,us
engjournalumi.com,id
excelligentacademia.com,my
genbreedpublisher.com,us
hortherbpublisher.com,us
icsejournal.com,cy
ijhes.com,sg
imed.pub,nl
jip.a2hosted.com,us
jmsnew.iobmresearch.com,us
jomts.com,us
journal.abkinjateng.org,cy
journal.axiomlaboratory.com,sg
journal.kurasinstitute.com,id
journal.muntahanoorinstitute.com,us
journal.penerbitkaroteh.com,id
journalknowledge.com,gb
journals.aiias.edu,ph
journals.akademisyen.net,tr
journals.iorpress.org,in
journals.irapa.org,us
journals2.hh-publisher.com,us
jurnal.permapendis.org,id
jurnal.ukompeten.com,id
jurnal.unai.edu,id
jurnaldigit.org,id
learning-gate.com,us
libjournals.mtsu.edu,us
management.eurekajournals.com,in
manuscripts.international,us
metalsimyaci.com,tr
microbescipublisher.com,us
ocs.slstyo.com,sg
ojs.epsilonprinting.com,sg
ojs.lppmuniprima.org,id
ojs.rumahukomindonesia.com,us
ojs.sandermanpub.com,hk
ojs.tripaledu.com,tr
ojshostng.com,us
periodicos.unesc.net,br
phlawreview.org,us
phmpapers.org,us
physnew.com,us
portofolio.febunjani.com,id
proceeding.rsfpress.com,nl
proceedingsof.naasrm.com,us
publications.dainst.org,de
redibai-journal.org,us
research-advances.org,us
revistascientificas.uspceu.com,es
rmsjournal.com,mo
rumahjurnal.net,id
snman.science,nl
spx-epress.net,us
sylvertx.000webhostapp.com,cy
techniumscience.com,ro
thejournalish.com,id
toastse.com,us
turates.com,tr
unillanos.metarevistas.org,fr
ur1.toc-editions.com,nl
uruojs.insiemp.com,ve
vps-1689312-x.dattaweb.com,us
www.br-ie.org,us
www.cloudpublications.org,us
www.cribfb.com,us
www.edukasional.com,id
www.ejournalwiraraja.com,id
www.freedevelop.org,es
www.growingscholar.org,us
www.journalfkipuniversitasbosowa.org,lk
www.mediterraneanknowledge.org,it
www.revistaepgunapuno.org,us
www.richtmann.org,it
www.themspress.org,us
www.vestnik-surgery.com,ru
acaa-p.com,us
aeirc-edu.com,us
al-kindipublisher.com,nl
aladzkiyajournal.com,id
apicbdkmedan.org,us
arc.lib.montana.edu,us
art.eurekajournals.com,in
asianjde.org,us
athenamedi.com,us
borneorms.org,id
bricsjer.com,us
c1831176.ferozo.com,ar
cajad.centralasianstudies.org,uz
cajitmf.centralasianstudies.org,uz
cajlpc.centralasianstudies.org,uz
cajmns.centralasianstudies.org,uz
cajmtcs.centralasianstudies.org,uz
cajotas.centralasianstudies.org,uz
cajssh.centralasianstudies.org,uz
celt.miamioh.edu,us
centreofexcellence.net,us
china.piscomed.com,sg
confajol3.ajol.info,us
cusitjournals.com,ua
cwzpress.com,sg
digitalud.dbq.edu,us
dmi-journals.org,sg
ecsenet.com,us
edu-business.org,sg
educationjournal.web.illinois.edu,us
ejournal.anotero.org,id
ejournal.bayfaeducation.com,id
ejournal.fkipuki.org,id
ejournal.goacademica.com,cy
ejournal.ibeeta.org,id
ejournal.ijshs.org,us
ejournal.karinosseff.org,cy
ejurnalkotamadiun.org,id
ephjournal.org,us
frolick.org,us
fuenteconfiable.com,de
gmjei-ojs-tamiu-stage.tdl.org,us
grdspublishing.org,us
greenpub.org,id
grpjournals.net,us
hh-publisher.com,us
himapas.org,us
hologos.college,id
iaesprime.com,sg
iannajournalofinterdisciplinarystudies.com,us
idcounselor.com,id
ijaed.com,de
ijemss.com,sg
ijnd.info,us
ijssrr.com,us
iluvias.com,cy
inajcc.com,us
infoteks.org,nl
internationalrasd.org,us
investigacioni2d.com,de
iocscience.org,id
j-miner.com,us
jalt-publications.org,us
jbrcp.net,us
jcer.net,us
jdi.teknoindonesia.com,gb
jeae.org,tr
jebc.net,id
joecy.org,id
journal-center.litpam.com,cy
journal.99science.org,us
journal.aedmae.org,us
journal.eaec-eg.com,us
journal.embnet.org,us
journal.globaleconedu.org,id
journal.ilininstitute.com,id
journal.impactresearch.center,us
journal.ittishal.net,sg
journal.kopertis-4.org,id
journal.kualitama.com,cy
journal.lembagakita.org,fi
journal.pandawainstitute.com,id
journal.pdmi-pusat.org,id
journal.pubnesia.com,ca
journal.qitepinmath.org,id
journal.redwhitepress.com,id
journal.saased.org,id
journal.staidk.com,id
journalajravs.com,us
journalfkipunipa.org,id
journalofdiversity.com,id
journalofmedula.com,id
journals.aabms.org,us
journals.academebooks.com,de
journals.cincader.org,us
journals.edupotensia.org,cy
journals.essrak.org,us
journals.fst-djelfa.com,fi
journals.gmu.edu,us
journals.hh-publisher.com,us
journals.internationalrasd.org,us
journals.ku.edu,us
journals.metro-research.com,us
journals.publicplatform.app,us
journals.scicell.org,sk
journals.segce.com,id
journals.uncc.edu,us
journals.wichita.edu,us
juriskes.com,lt
jurnal.iairm-ngabar.com,cy
jurnal.intancendekia.org,cy
jurnal.monitoringclub.org,sg
jurnal.staiannawawi.com,sg
jurnal.suamedia.com,id
jurnal.yoctobrain.org,sg
jurnalstikesintanmartapura.com,cy
kibanresearchpublications.com,us
libjournals.unca.edu,nl
majmuah.com,sg
mansapublishers.com,us
mcfns.net,us
methomika.net,id
monthlyreviewarchives.org,us
navalpress.com,us
ojs.aduei.com,us
ojs.auacpress.org,sg
ojs.cahayamandalika.com,id
ojs.escoladacidade.org,us
ojs.kuliahkomputer.com,id
ojs.sanguilmu.com,us
ojs.sgsci.org,sg
ojs.whioce.com,sg
ojs2.latihanojs.com,id
ojs3.gpmu.org,ru
ojs3.lppm-uis.org,id
ojs3modern16.openjournalsystems.com,us
onlineacademicpress.com,us
penelitiankesehatan.com,id
penelitimuda.com,id
persagi.org,id
pfcasopisi.com,ba
phani.indiaproblems.com,us
plarci.org,us
pontecorbolipress.com,nl
portalpensador.com,us
prepublicaciones.org,us
press.utoledo.edu,us
psppjournals.org,id
pub.mykreatif.com,lt
publication.k-pin.org,id
publications.teadmus.org,gb
publish.tntech.edu,us
publishing.fgu-edu.com,us
pubs.ascee.org,id
pubs.sciencenesia.com,sg
qellqasqa.com,us
researchersworld.com,sg
revista-alcn.org,ca
revista.cienciasecognicao.org,br
revista.proeditio.com,es
revista.redgade.com,us
revistaeletronicafunvic.org,us
revistasuas.com,us
rtsre.org,au
sai.cercetare.org,ro
scigod.com,us
secforestales.org,es
serials.atla.com,us
sjournals.com,us
snitechnologies.com,us
ssbjournals.org,gb
ssbrj.org,id
storkjournals.org,us
submissions.cerath.com,us
tiikmpublishing.com,us
tljbm.org,us
tspsubmission.com,hk
tuljournals.temple.edu,us
ukischolarsnetwork.org,id
vspu.net,ua
www.ajscieng.com,ir
www.aquapublisher.com,us
www.asociacioneconomiacritica.org,es
www.atlasstatsresearch.com,us
www.ceserpublications.com,us
www.cienciasecognicao.org,br
www.dmi-journals.org,sg
www.econbussoc.org,sg
www.emtoscipublisher.com,us
www.fazpublishing.com,my
www.fitecvirtual.org,us
www.gssrr.org,nl
www.ijocma.org,us
www.indexlaw.org,br
www.jadh.org,jp
www.jofeb.org,tr
www.journal.saased.org,id
www.jposna.org,us
www.npwtj.com,de
www.ojs.bdtopten.com,us
www.pacificejournals.com,us
www.pagepressjournals.org,it
www.readersinsight.net,us
www.revistabiblica.com,nl
www.rsbap.org,nl
www.saglikokuryazarligidergisi.com,tm
www.sanisidoro.net,us
www.sentimentanimalidades.net,br
www.tnhjph.com,us
www.zoosprint.zooreach.org,us
xn----8sbernpieey6a0g.xn----8sbwwhgb.xn--p1ai,ru
xn--80aeefhfzzzhd2j.xn--80adxhks,ru
ywacademia.com,us
0nlineastrology.com,sg
1.cdpservices.org,jp
aarcentre.com,sg
abc.us.org,us
abejournal.online,pl
abrapem.org,us
abstract.pogipdc2020.com,cy
aca.bitcloudmedia.xyz,cy
academicarchives.org,us
acontracorriente.chass.ncsu.edu,us
acopaf.site,us
acta-microscopica.org,nl
actamedicacolombiana.com,us
actamedindones.org,id
adi-journal.org,us
administrasiku.com,id
adppi.org,us
advjbiomol.com,in
advld.com,us
aejonline.org,de
ahlimedia.com,id
aicljournal.org,us
aihc.amexihc.org,us
aihumanities.org,kr
aipmed.org,us
ajlifesciences.com,gb
ajlmonline.org,de
ajlp.mmupress.com,my
ajmedtech.com,id
ajocs.com,my
ajod.org,de
ajooh.org,us
ajstd.org,id
albertinejournal.org,us
alddurar.tcais.net,jp
alisyraq.pabki.org,cy
amaejournal.utsa.edu,us
amazoniainvestiga.info,us
ambronline.net,us
amcapjess.net,us
amcapjmcs.net,us
analectica.org,us
anatoliasr.org,tr
antiagingbiomed.org,sg
anushandhan.openresearchjournals.com,us
ap3si.org,id
apims.net,us
appsitsta.ddns.net,mx
apsdpr.org,za
aqua-lac.org,us
aquja.alquds.edu,ps
arcc-journal.org,us
archivosdemedicinadeldeporte.com,es
arkhoediciones.com,us
arteri.sinergis.org,cy
articles.theindianpractitioner.com,in
artikel.adenasution.com,id
asianscholarsnetwork.org,my
asle-brasil.com,nl
asociacioneconomiacritica.org,es
asociacionlatinoamericanadeantropologia.net,fi
astroedjournal.org,au
aujm.au.edu,th
avehjournal.org,de
awryjcp.com,us
aysenologia.org,cl
ayurlog.com,in
ayurvigyan.gactagujarat.com,in
balianatomyjournal.org,id
banrjournal.org,id
barropensativo.com,nl
baydaauniv.net,us
bcsdjournals.com,id
beta.sajeb.org,in
betancl.ecu.edu,us
betangjurnal.org,id
betasfc.ecu.edu,us
beyond-rheumatology.org,it
bicaise.iaine.org,id
bimkonsel.ikipgunungsitolijournal.net,id
bio-integration.org,in
bio-up.org,ua
bioinfoguy.net,us
bios.sinergis.org,cy
biosight.org,us
biupress.org,us
bjoa.balijournals.org,sg
bjotr.com,us
bjph.info,us
bmc-rm.org,ru
boletim.ornisevora.org,nl
books.psmpublishers.org,us
bra.lmsiunajaf.org,us
bras-center.com,gb
brewercom.com,us
bulletin.uv4plants.org,gb
cagi.software-adhoc.com,us
callforchapter.com,nl
canadianarchaeology.com,us
cancer.whioce.com,sg
careertechresearch.org,us
case-analysis.uohcba.com,us
cbsjournal.com,cy
ccbjournal.info,de
cdrjournal.africanlightsource.org,us
cendekianiaga.com,us
ciberindex.com,es
cienciadigital.org,us
cimateuan.education,us
circuitoretic.redaccioncto.com,es
cityhealthj.org,tm
cja.canadianarchaeology.com,us
classic7.openjournalsystems.com,us
climateandhealthj.org,tm
clsu-ijeds.org,cy
cobaa.proyekdesain.com,id
computationalcommunication.org,nl
conejournal.com,pk
conference.i-mes.org,id
converter-magazine.info,us
coreidjournal.org,sg
crcah.com,us
creactos.org,us
csiepub.org,us
ctt-ojs-ttu-stage.tdl.org,us
designforsocialchange.org,gb
diabeticstudies.org,us
dinastires.org,id
dinastirev.org,id
djes.info,us
dnadecipher.com,us
docomomo.web2403.uni5.net,br
documental.celam.org,us
dr-salih.com,de
dummy.ijireview.com,id
dyspanel.enadonline.com,de
e-journal.adpgmiindonesia.com,id
e-journal.lingkarpenaindonesia.com,id
e-journal.stipyapibone.online,cy
e-jurnalnasional.com,us
e-plastory.com,de
eahrj.eahealth.org,gb
easci.eahealth.org,gb
ecf.utpjournalsreview.com,ca
edicions.uib.cat,es
editora.pimentacultural.com,br
editorialabiertafaia.com,us
editorialmedicaesculapio.com,gb
educacion.materialesytareas.com,us
ei-journal.com,ua
ejournal-sttp.com,fi
ejournal.1001tutorial.com,id
ejournal.cyberdakwah.com,id
ejournal.elbinajatim.com,id
ejournal.kompetif.com,id
ejournal.learn21st.com,id
ejournal.pamaaksara.org,sg
ejournal.pgrikotasemarang.org,id
ejournal.sisfokomtek.org,cy
ejournal.yudhaenglishgallery.com,id
ejpam.com,be
ejurnal.immlampung.org,vn
ejurnal.kpmunj.org,id
ejurnal.seminar-id.com,id
elacil-revue.com,fi
emedhaa.com,de
emrj.org,us
engagement.osumc.edu,us
erkjournals.com,in
escribo.com,br
esec.upnvjt.com,id
ethnobioconservation.com,ca
etiquette.makarioz.org,id
eurekaunima.com,id
fandfonline.com,us
farplss.org,ua
fatobene.net,br
fauxjournal.org,us
fctcoezjournals.org,us
fepbl.com,us
filomatjournal.com,tr
foodagrispectrum.org,nl
forestchemicalsreview.com,us
fpbjournal.com,ca
ftppunipa.com,sg
fuljoss.com,us
fundacionarthis.org,es
futajeet.com,us
gamaesouza.no-ip.info,br
gandt.website,nl
general.psych.live,kr
ger.mercy.edu,us
gjat.net,cy
globalgers.org,us
globsurg.com,ca
glossa.happyneuron.com,fr
gmjei-ojs-tamiu.tdl.org,us
godsandmonsters-ojs-txstate.tdl.org,us
hansoftjournals.com,in
harsiyat.com,tr
hechoteatral.com,nl
hesj.org,de
historiaregional.org,ar
historiasocialecomparada.org,us
hjicmc.org,in
hjradiology.org,gr
honorisacademia.com,nl
ia-education.online,id
iacau.com,de
iase-web.org,nz
iasjol.org,lt
icrjournal.org,us
idwebsitedesign.com,id
iestoc.org,us
ifbar.org,tr
iiiejournal.org,in
ijaetonline.com,us
ijarms.com,in
ijartm.com,in
ijase.iiesindependent.org,id
ijate.net,tr
ijbes.com,de
